Postal code;Lat;Long
5571;50.145.229.203.958.400;497.830.552.524.816
5080;5.051.802.156.697.480;4.823.040.677.097.620
5543;5.016.549.170.513.230;4.844.595.751.539.790
3581;51.090.098.965.515.800;5.248.218.029.108.460
3583;51.047.686.051.880.700;5.173.248.093.354.310
3590;5.091.148.333.449.560;5.417.426.449.396.490
3640;5.117.115.647.372.930;572.880.856.924.644
3717;5.072.596.086.466.410;5.425.422.103.675.050
3891;50.750.593.993.217.700;51.763.269.783.803.100
3980;51.054.783.189.174.600;5.069.536.263.946.340
8553;5.080.839.107.751.570;34.215.637.822.902.700
6870;5.003.690.455.420.120;5.313.902.123.517.160
7504;5.058.098.203.970.650;33.303.814.103.708.500
7822;506.471.815.598.948;38.439.814.768.590.500
1401;50.617.663.557.366.700;4.358.076.642.200.510
1460;5.064.085.582.622.050;4.259.715.332.494.390
2640;5.117.463.975.833.740;4.461.040.132.890.290
2382;5.144.976.104.267.060;5.052.107.033.848.180
2310;5.135.514.942.435.800;47.674.942.745.236.300
2547;5.112.769.847.424.810;4.497.806.447.410.260
2845;5.110.729.376.871.480;433.556.593.193.733
2060;51.248.447.820.724.300;4.376.134.025.032.600
2627;5.112.267.361.693.440;4.342.687.429.249.920
2381;5.141.131.354.672.350;50.060.100.753.927.500
2150;5.119.145.932.067.740;4.487.687.146.271.740
2387;5.141.641.400.189.450;4.903.894.210.159.390
3472;5.089.424.346.153.920;50.063.731.488.353.700
3272;5.101.625.602.737.970;4.946.307.973.458.270
3212;508.747.668.407.872;47.900.296.902.561.900
1640;50.744.496.059.136.000;4.373.732.794.655.720
3450;5.089.500.693.999.190;510.532.003.006.251
1540;50.722.404.957.481.000;403.604.040.962.386
9473;5.089.809.663.996.490;4.050.302.142.583.160
9112;5.116.014.232.146.860;4.029.177.437.791.310
9031;51.051.202.535.013.300;3.633.046.770.040.210
9308;509.673.651.621.167;4.029.669.760.417.310
4730;50.649.166.334.686.700;6.140.831.297.731.920
4632;5.065.314.739.422.450;5.722.308.262.380.480
4351;506.969.029.287.981;5.341.979.782.980.760
4480;5.054.940.848.302.810;5.390.638.932.115.770
4910;50.479.293.293.663.200;5.792.942.482.132.820
7510;50.602.611.637.589.600;3.347.229.563.836.700
7020;504.951.508.161.205;3.972.124.117.938.850
6534;5.034.868.908.709.580;4.346.616.190.652.400
7860;5.070.782.135.153.300;38.276.559.593.212.600
7330;504.500.706.332.298;38.172.904.337.168.100
7864;5.073.219.062.587.630;386.465.888.313.695
7100;5.048.132.422.290.690;419.011.154.300.274
6531;5.031.812.045.059.710;4.311.671.935.515.350
3722;50.855.692.119.449.900;5.409.332.424.911.170
8550;5.080.547.297.509.660;3.339.351.438.011.730
8691;50.976.301.824.160.700;263.603.213.658.728
8700;5.099.997.764.926.430;33.374.069.061.288.800
8760;5.095.105.389.378.750;3.295.037.936.851.290
6840;498.424.024.694.399;5.431.672.182.519.430
6983;50.130.140.819.937.100;5.628.599.161.615.830
6987;50.225.561.542.216.400;5.482.531.103.545.010
3120;5.099.429.271.970.900;4.709.198.894.538.120
1541;5.070.447.653.722.270;39.925.589.861.453.300
3270;5.097.091.251.522.210;4.977.675.317.891.440
5351;50.441.864.713.360.200;5.147.327.658.298.040
5540;502.078.836.754.068;4.832.756.422.482.890
5550;4.981.215.041.837.720;49.131.328.842.918.300
3582;5.107.062.776.310.160;528.067.689.900.486
3850;5.087.456.504.009.530;5.193.628.950.060.380
8480;51.130.084.962.134.500;30.248.478.443.119.200
8570;5.084.340.914.962.330;3.464.043.077.530.350
8830;5.098.182.637.352.010;30.640.233.035.166.600
8978;50.847.277.895.421.800;26.407.127.152.519.600
3300;5.080.922.727.420.930;4.941.172.558.459.960
3401;50.718.032.360.518.400;5.087.728.599.429.140
3210;5.088.357.963.294.680;4.835.081.689.733.580
1501;5.073.746.200.178.330;4.262.453.273.944.150
1950;50.845.386.982.127.400;4.471.344.481.505.890
9771;50.882.928.824.884.400;35.027.556.718.941.900
9190;5.121.058.097.517.080;4.018.028.609.943.870
9051;51.020.835.067.310.200;36.770.404.444.377.900
9700;50.848.018.865.686.800;3.611.088.262.898.640
9770;50.916.145.054.810.700;35.299.631.913.517.900
4181;5.042.561.167.704.620;557.670.059.087.153
4342;5.068.356.624.247.200;5.455.776.383.600.710
